# tissue	PC1		PC2		PC3
BLCA           2.05090910e+01  -12.75726019   -6.69776082
BRCA           2.16702831e+00  -57.66149096   -25.26991977
COAD           5.19757886e+01  34.60775486    106.41348981
ESCA           7.71168049e+01  5.88389181     35.51002979
HNSC           5.42113089e+01  36.4670566     -19.25652526
KIRC           -7.68137613e+01 -9.42120208    -52.40805304
KIRP           -7.42376001e+01 -4.80862899    -56.82759363
LIHC           -1.11813251e+02 234.50516038   -20.70738495
LUAD           -7.88455116e+00 -52.86636753   -0.18909484
LUSC           -3.30878091e+00 -52.82101994   2.6142968
PRAD           -3.69151160e-02 -39.93798479   -31.51717093
READ           4.28018059e+01  18.33386954    107.33153589
STAD           5.28032298e+01  14.3721942     70.89173455
THCA           -1.90359725e+01 -61.85197578   -71.53872298
UCEC           -8.45422542e+00 -52.04399712   -38.34886062
