#tissue	PC1		PC2		PC3
 BLCA          102.2464009     26.85481952    -68.05722667
 BRCA          65.79723106     -12.37630066   -64.99765815
 COAD          121.16683822    60.57324806    14.05030086
 ESCA          156.0775579     13.67257428    -17.8994682
 HNSC          114.11695001    41.14361276    -55.70515761
 KIRC          -11.44058166    4.91508884     -67.08650836
 KIRP          -7.01133273     21.54235359    -92.02509244
 LIHC          -43.73138745    190.22699049   -57.53606755
 LUAD          77.88667012     -12.59021315   -35.30443974
 LUSC          115.44733896    3.28434691     -56.74164306
 PRAD          29.06434998     -20.64845674   -53.22537483
 READ          118.45640789    64.2745113     14.46622039
 STAD          131.53771356    19.35668345    24.06165266
 THCA          5.02021107      -36.38998811   -85.81534264
 UCEC          84.06011941     14.19964192    -76.80494736
